"code_iris","x","y"
"013340000","798906.5","2138341.0"
"013350000","811840.5","2127487.5"
"013360000","816792.5","2131632.5"
"013370000","800821.0","2164603.0"
"013380000","852788.5","2081897.0"
"013390000","786472.0","2108413.5"
"013400000","856339.5","2082756.0"
"013410000","863851.0","2092597.5"
"013420000","810339.0","2103414.5"
"013430000","802623.0","2145048.5"
"013440000","819538.0","2138386.5"
"013450000","831727.0","2109858.5"
"013460000","809208.5","2148925.0"
"013470000","789155.5","2109423.5"
"013480000","791948.5","2134938.5"
"013490000","818189.5","2107672.0"
"013500000","826749.0","2146032.0"
"013510000","795581.5","2130361.0"
"013520000","805009.0","2159005.5"
"013530000","790386.0","2110176.0"
"013540101","885230.5","2145512.0"
"013540102","885658.5","2147587.5"
"013540103","885724.0","2147041.0"
"013550000","806446.5","2145781.0"
"013560000","808085.5","2126167.5"
"013570000","862946.5","2136981.0"
"013580000","855273.5","2091155.5"
"013590000","810848.5","2123206.5"
"013600000","877886.0","2141711.0"
"013610000","822956.5","2097204.5"
"013620000","798402.0","2109842.0"
"013630000","835532.0","2118785.5"
"013640000","809283.5","2158210.0"
"013650000","799076.0","2144240.0"
"013660000","828719.0","2102051.0"
"013670000","812919.5","2159028.5"
"013680000","802160.0","2137515.0"
"013690000","827546.0","2137004.0"
"013700000","792787.5","2148083.5"
"013710000","805423.0","2108826.5"
"013720000","859470.5","2099558.0"
"013730000","849895.0","2131205.0"
"013740000","831368.5","2127310.0"
"013750000","814493.5","2147179.0"
"013760000","805043.0","2095858.5"
"013780000","820312.0","2094916.5"
"013790000","827383.0","2110219.0"
"013800000","817716.0","2165653.5"
"013810000","817419.5","2120752.0"
"013820000","801192.0","2116069.5"
"013830000","816035.0","2125458.5"
"013840000","840769.0","2110701.5"
"013850000","818312.0","2135669.5"
"013860000","835310.5","2103061.5"
"013870000","808211.5","2150410.0"
"013880000","809709.0","2165645.5"
